"","x"
"1","nube"
"2","multinube"
"3","nube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","multinube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","multinube"
"19","multinube"
"20","nube"
"21","nube"
"22","nube"
"23","nube"
"24","nube"
"25","nube"
"26","multinube"
"27","nube"
"28","multinube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","multinube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","nube"
"41","multinube"
"42","multinube"
"43","nube"
"44","multinube"
"45","nube"
"46","nube"
"47","nube"
"48","multinube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","nube"
"54","nube"
"55","multinube"
"56","nube"
"57","nube"
"58","nube"
"59","multinube"
"60","nube"
"61","multinube"
"62","nube"
"63","nube"
"64","multinube"
"65","nube"
"66","nube"
"67","nube"
"68","multinube"
"69","nube"
"70","cieloDespejado"
"71","nube"
"72","nube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","nube"
"78","nube"
"79","nube"
"80","multinube"
"81","nube"
"82","multinube"
"83","multinube"
"84","nube"
"85","nube"
"86","nube"
"87","cieloDespejado"
"88","nube"
"89","nube"
"90","multinube"
"91","nube"
"92","multinube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","nube"
"105","multinube"
"106","multinube"
"107","nube"
"108","nube"
"109","nube"
"110","nube"
"111","nube"
"112","cieloDespejado"
"113","nube"
"114","multinube"
"115","multinube"
"116","cieloDespejado"
"117","nube"
"118","cieloDespejado"
"119","nube"
"120","nube"
"121","nube"
"122","nube"
"123","multinube"
"124","nube"
"125","nube"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","nube"
"131","nube"
"132","nube"
"133","multinube"
"134","nube"
"135","cieloDespejado"
"136","nube"
"137","nube"
"138","nube"
"139","nube"
"140","multinube"
"141","multinube"
"142","nube"
"143","nube"
"144","nube"
"145","multinube"
"146","nube"
"147","nube"
"148","multinube"
"149","nube"
"150","nube"
"151","nube"
"152","cieloDespejado"
"153","nube"
"154","multinube"
"155","multinube"
"156","multinube"
"157","nube"
"158","nube"
"159","multinube"
"160","nube"
"161","nube"
"162","nube"
"163","nube"
"164","nube"
"165","nube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","nube"
"171","cieloDespejado"
"172","multinube"
"173","multinube"
"174","multinube"
"175","multinube"
"176","cieloDespejado"
"177","cieloDespejado"
"178","cieloDespejado"
"179","cieloDespejado"
