"","x"
"1","nube"
"2","nube"
"3","cieloDespejado"
"4","multinube"
"5","nube"
"6","multinube"
"7","nube"
"8","nube"
"9","multinube"
"10","multinube"
"11","nube"
"12","nube"
"13","multinube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","multinube"
"24","nube"
"25","multinube"
"26","nube"
"27","nube"
"28","nube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","multinube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","multinube"
"40","nube"
"41","nube"
"42","nube"
"43","nube"
"44","nube"
"45","multinube"
"46","nube"
"47","nube"
"48","nube"
"49","multinube"
"50","nube"
"51","nube"
"52","nube"
"53","multinube"
"54","multinube"
"55","nube"
"56","cieloDespejado"
"57","nube"
"58","nube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","multinube"
"64","multinube"
"65","nube"
"66","multinube"
"67","nube"
"68","cieloDespejado"
"69","nube"
"70","multinube"
"71","nube"
"72","multinube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","nube"
"78","nube"
"79","nube"
"80","nube"
"81","multinube"
"82","nube"
"83","nube"
"84","multinube"
"85","nube"
"86","multinube"
"87","multinube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","nube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","nube"
"101","multinube"
"102","nube"
"103","multinube"
"104","nube"
"105","nube"
"106","nube"
"107","nube"
"108","nube"
"109","multinube"
"110","multinube"
"111","nube"
"112","nube"
"113","nube"
"114","nube"
"115","nube"
"116","nube"
"117","cieloDespejado"
"118","nube"
"119","nube"
"120","nube"
"121","cieloDespejado"
"122","multinube"
"123","multinube"
"124","nube"
"125","nube"
"126","nube"
"127","nube"
"128","multinube"
"129","nube"
"130","multinube"
"131","nube"
"132","nube"
"133","nube"
"134","nube"
"135","multinube"
"136","nube"
"137","nube"
"138","multinube"
"139","nube"
"140","multinube"
"141","nube"
"142","multinube"
"143","nube"
"144","multinube"
"145","nube"
"146","nube"
"147","nube"
"148","nube"
"149","nube"
"150","nube"
"151","nube"
"152","multinube"
"153","multinube"
"154","nube"
"155","multinube"
"156","multinube"
"157","nube"
"158","nube"
"159","nube"
"160","cieloDespejado"
"161","cieloDespejado"
"162","nube"
"163","nube"
"164","cieloDespejado"
"165","multinube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","cieloDespejado"
"171","nube"
"172","nube"
"173","nube"
"174","multinube"
"175","nube"
"176","cieloDespejado"
"177","cieloDespejado"
"178","cieloDespejado"
"179","cieloDespejado"
