"","x"
"1","nube"
"2","nube"
"3","cieloDespejado"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","multinube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","multinube"
"24","nube"
"25","nube"
"26","multinube"
"27","nube"
"28","nube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","multinube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","multinube"
"40","nube"
"41","nube"
"42","multinube"
"43","nube"
"44","nube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","multinube"
"50","nube"
"51","multinube"
"52","nube"
"53","nube"
"54","nube"
"55","nube"
"56","nube"
"57","nube"
"58","multinube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","nube"
"64","nube"
"65","nube"
"66","multinube"
"67","nube"
"68","nube"
"69","nube"
"70","nube"
"71","nube"
"72","multinube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","nube"
"78","multinube"
"79","nube"
"80","nube"
"81","multinube"
"82","nube"
"83","nube"
"84","nube"
"85","nube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","multinube"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","cieloDespejado"
"98","nube"
"99","nube"
"100","nube"
"101","nube"
"102","nube"
"103","nube"
"104","nube"
"105","nube"
"106","nube"
"107","nube"
"108","nube"
"109","multinube"
"110","nube"
"111","nube"
"112","nube"
"113","nube"
"114","nube"
"115","nube"
"116","nube"
"117","nube"
"118","nube"
"119","nube"
"120","nube"
"121","cieloDespejado"
"122","multinube"
"123","multinube"
"124","nube"
"125","nube"
"126","nube"
"127","nube"
"128","multinube"
"129","nube"
"130","nube"
"131","nube"
"132","nube"
"133","nube"
"134","nube"
"135","nube"
"136","nube"
"137","nube"
"138","multinube"
"139","nube"
"140","nube"
"141","nube"
"142","multinube"
"143","multinube"
"144","multinube"
"145","nube"
"146","nube"
"147","nube"
"148","multinube"
"149","nube"
"150","nube"
"151","multinube"
"152","multinube"
"153","multinube"
"154","nube"
"155","nube"
"156","multinube"
"157","nube"
"158","nube"
"159","nube"
"160","cieloDespejado"
"161","cieloDespejado"
"162","multinube"
"163","nube"
"164","cieloDespejado"
"165","multinube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","cieloDespejado"
"171","multinube"
"172","nube"
"173","nube"
"174","multinube"
"175","nube"
"176","cieloDespejado"
"177","cieloDespejado"
"178","cieloDespejado"
"179","cieloDespejado"
