"","x"
"1","nube"
"2","nube"
"3","multinube"
"4","nube"
"5","multinube"
"6","nube"
"7","multinube"
"8","nube"
"9","nube"
"10","multinube"
"11","nube"
"12","nube"
"13","nube"
"14","nube"
"15","nube"
"16","nube"
"17","nube"
"18","nube"
"19","nube"
"20","nube"
"21","nube"
"22","nube"
"23","multinube"
"24","multinube"
"25","nube"
"26","nube"
"27","nube"
"28","nube"
"29","nube"
"30","nube"
"31","nube"
"32","nube"
"33","nube"
"34","nube"
"35","nube"
"36","nube"
"37","nube"
"38","nube"
"39","nube"
"40","multinube"
"41","nube"
"42","nube"
"43","multinube"
"44","nube"
"45","multinube"
"46","nube"
"47","nube"
"48","nube"
"49","nube"
"50","nube"
"51","nube"
"52","nube"
"53","nube"
"54","multinube"
"55","nube"
"56","nube"
"57","multinube"
"58","nube"
"59","nube"
"60","cieloDespejado"
"61","nube"
"62","multinube"
"63","nube"
"64","nube"
"65","nube"
"66","nube"
"67","multinube"
"68","nube"
"69","nube"
"70","multinube"
"71","multinube"
"72","multinube"
"73","nube"
"74","nube"
"75","nube"
"76","nube"
"77","nube"
"78","nube"
"79","multinube"
"80","nube"
"81","cieloDespejado"
"82","nube"
"83","multinube"
"84","nube"
"85","multinube"
"86","nube"
"87","multinube"
"88","nube"
"89","nube"
"90","multinube"
"91","nube"
"92","nube"
"93","multinube"
"94","nube"
"95","multinube"
"96","multinube"
"97","nube"
"98","nube"
"99","nube"
"100","multinube"
"101","nube"
"102","nube"
"103","nube"
"104","cieloDespejado"
"105","nube"
"106","multinube"
"107","multinube"
"108","nube"
"109","nube"
"110","multinube"
"111","nube"
"112","nube"
"113","nube"
"114","cieloDespejado"
"115","nube"
"116","cieloDespejado"
"117","nube"
"118","multinube"
"119","nube"
"120","multinube"
"121","nube"
"122","nube"
"123","nube"
"124","multinube"
"125","nube"
"126","nube"
"127","cieloDespejado"
"128","multinube"
"129","nube"
"130","nube"
"131","nube"
"132","nube"
"133","nube"
"134","cieloDespejado"
"135","multinube"
"136","cieloDespejado"
"137","nube"
"138","nube"
"139","nube"
"140","nube"
"141","multinube"
"142","multinube"
"143","multinube"
"144","nube"
"145","nube"
"146","nube"
"147","multinube"
"148","multinube"
"149","nube"
"150","nube"
"151","nube"
"152","nube"
"153","nube"
"154","multinube"
"155","nube"
"156","multinube"
"157","nube"
"158","nube"
"159","nube"
"160","nube"
"161","nube"
"162","multinube"
"163","nube"
"164","nube"
"165","nube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","nube"
"171","multinube"
"172","cieloDespejado"
"173","nube"
"174","nube"
"175","nube"
"176","cieloDespejado"
"177","nube"
"178","cieloDespejado"
"179","nube"
"180","nube"
