"","x"
"1","nube"
"2","nube"
"3","multinube"
"4","nube"
"5","nube"
"6","nube"
"7","nube"
"8","nube"
"9","nube"
"10","nube"
"11","nube"
"12","nube"
"13","nube"
"14","nube"
"15","multinube"
"16","nube"
"17","multinube"
"18","nube"
"19","nube"
"20","multinube"
"21","nube"
"22","nube"
"23","nube"
"24","nube"
"25","nube"
"26","multinube"
"27","nube"
"28","nube"
"29","nube"
"30","multinube"
"31","nube"
"32","nube"
"33","cieloDespejado"
"34","multinube"
"35","multinube"
"36","nube"
"37","multinube"
"38","nube"
"39","nube"
"40","nube"
"41","nube"
"42","nube"
"43","multinube"
"44","nube"
"45","nube"
"46","nube"
"47","nube"
"48","nube"
"49","multinube"
"50","nube"
"51","multinube"
"52","nube"
"53","multinube"
"54","nube"
"55","multinube"
"56","nube"
"57","multinube"
"58","nube"
"59","nube"
"60","nube"
"61","nube"
"62","nube"
"63","nube"
"64","nube"
"65","nube"
"66","multinube"
"67","multinube"
"68","nube"
"69","nube"
"70","nube"
"71","nube"
"72","nube"
"73","nube"
"74","multinube"
"75","nube"
"76","cieloDespejado"
"77","multinube"
"78","nube"
"79","multinube"
"80","multinube"
"81","nube"
"82","nube"
"83","nube"
"84","nube"
"85","multinube"
"86","nube"
"87","nube"
"88","nube"
"89","nube"
"90","nube"
"91","nube"
"92","cieloDespejado"
"93","nube"
"94","nube"
"95","nube"
"96","nube"
"97","nube"
"98","nube"
"99","nube"
"100","multinube"
"101","nube"
"102","nube"
"103","multinube"
"104","nube"
"105","nube"
"106","multinube"
"107","nube"
"108","nube"
"109","nube"
"110","nube"
"111","nube"
"112","nube"
"113","nube"
"114","multinube"
"115","cieloDespejado"
"116","nube"
"117","cieloDespejado"
"118","nube"
"119","nube"
"120","nube"
"121","multinube"
"122","nube"
"123","nube"
"124","multinube"
"125","nube"
"126","nube"
"127","nube"
"128","nube"
"129","nube"
"130","nube"
"131","cieloDespejado"
"132","nube"
"133","multinube"
"134","cieloDespejado"
"135","multinube"
"136","nube"
"137","nube"
"138","multinube"
"139","nube"
"140","nube"
"141","nube"
"142","nube"
"143","multinube"
"144","nube"
"145","nube"
"146","nube"
"147","multinube"
"148","cieloDespejado"
"149","nube"
"150","multinube"
"151","nube"
"152","nube"
"153","nube"
"154","nube"
"155","nube"
"156","nube"
"157","nube"
"158","multinube"
"159","nube"
"160","nube"
"161","nube"
"162","nube"
"163","nube"
"164","nube"
"165","nube"
"166","nube"
"167","nube"
"168","nube"
"169","nube"
"170","nube"
"171","nube"
"172","nube"
"173","nube"
"174","multinube"
"175","nube"
"176","cieloDespejado"
"177","cieloDespejado"
"178","cieloDespejado"
"179","nube"
